"table_name","column_name","data_type","is_nullable"
"actor","entry_name","text","NO"
"actor","id","integer","NO"
"actor","id_uuid","text","NO"
"address","address","text","NO"
"address","city","text","NO"
"address","country","text","NO"
"address","date","int4range","NO"
"address","id","integer","NO"
"address","id_uuid","text","NO"
"address","source","text","NO"
"admin_person","first_name","text","NO"
"admin_person","id","integer","NO"
"admin_person","id_persistent","text","YES"
"admin_person","id_uuid","text","NO"
"admin_person","last_name","text","NO"
"annotation","content","json","NO"
"annotation","id","integer","NO"
"annotation","id_iconography","integer","NO"
"annotation","id_uuid","text","NO"
"cartography","crs_epsg","integer","NO"
"cartography","date","int4range","YES"
"cartography","date_source","text","YES"
"cartography","granularity","text","NO"
"cartography","id","integer","NO"
"cartography","id_licence","integer","NO"
"cartography","id_uuid","text","NO"
"cartography","inventory_number","text","YES"
"cartography","map_source","text","NO"
"cartography","source_url","text","YES"
"cartography","title","text","YES"
"cartography","vector","json","NO"
"directory","date","int4range","NO"
"directory","entry_name","text","NO"
"directory","gallica_ark","text","NO"
"directory","gallica_page","text","NO"
"directory","gallica_row","text","NO"
"directory","id","integer","NO"
"directory","id_address","integer","NO"
"directory","id_licence","integer","NO"
"directory","id_uuid","text","NO"
"directory","occupation","text","NO"
"directory","tags","ARRAY","YES"
"filename","id","integer","NO"
"filename","id_cartography","integer","YES"
"filename","id_iconography","integer","YES"
"filename","id_licence","integer","YES"
"filename","id_uuid","text","NO"
"filename","latlngbounds","ARRAY","YES"
"filename","url","text","NO"
"iconography","corpus","text","YES"
"iconography","date","int4range","YES"
"iconography","date_corr","text","YES"
"iconography","date_source","text","YES"
"iconography","description","text","YES"
"iconography","id","integer","NO"
"iconography","id_licence","integer","NO"
"iconography","id_richelieu","text","NO"
"iconography","id_uuid","text","NO"
"iconography","iiif_folio","ARRAY","YES"
"iconography","iiif_url","text","YES"
"iconography","inscription","text","YES"
"iconography","inventory_number","text","YES"
"iconography","produced","boolean","YES"
"iconography","represents","boolean","YES"
"iconography","source_url","text","YES"
"iconography","technique","ARRAY","YES"
"institution","description","text","YES"
"institution","entry_name","text","NO"
"institution","id","integer","NO"
"institution","id_uuid","text","NO"
"licence","description","text","YES"
"licence","entry_name","text","NO"
"licence","id","integer","NO"
"licence","id_uuid","text","NO"
"named_entity","category","text","NO"
"named_entity","category_slug","text","YES"
"named_entity","description","text","YES"
"named_entity","entry_name","text","NO"
"named_entity","id","integer","NO"
"named_entity","id_uuid","text","NO"
"place","centroid","json","YES"
"place","crs_epsg","integer","NO"
"place","date","int4range","NO"
"place","id","integer","NO"
"place","id_place_group","integer","YES"
"place","id_richelieu","text","NO"
"place","id_uuid","text","NO"
"place","vector","json","YES"
"place","vector_source","text","NO"
"place_group","description","text","YES"
"place_group","entry_name","text","NO"
"place_group","id","integer","NO"
"place_group","id_uuid","text","NO"
"r_address_place","id","integer","NO"
"r_address_place","id_address","integer","NO"
"r_address_place","id_place","integer","NO"
"r_address_place","id_uuid","text","NO"
"r_admin_person","id","integer","NO"
"r_admin_person","id_admin_person","integer","NO"
"r_admin_person","id_cartography","integer","YES"
"r_admin_person","id_directory","integer","YES"
"r_admin_person","id_iconography","integer","YES"
"r_admin_person","id_uuid","text","NO"
"r_cartography_place","id","integer","NO"
"r_cartography_place","id_cartography","integer","NO"
"r_cartography_place","id_place","integer","NO"
"r_cartography_place","id_uuid","text","NO"
"r_iconography_actor","id","integer","NO"
"r_iconography_actor","id_actor","integer","NO"
"r_iconography_actor","id_iconography","integer","NO"
"r_iconography_actor","id_uuid","text","NO"
"r_iconography_actor","ismain","boolean","NO"
"r_iconography_actor","role","text","NO"
"r_iconography_named_entity","id","integer","NO"
"r_iconography_named_entity","id_iconography","integer","NO"
"r_iconography_named_entity","id_named_entity","integer","NO"
"r_iconography_named_entity","id_uuid","text","NO"
"r_iconography_place","id","integer","NO"
"r_iconography_place","id_iconography","integer","NO"
"r_iconography_place","id_place","integer","NO"
"r_iconography_place","id_uuid","text","NO"
"r_iconography_theme","id","integer","NO"
"r_iconography_theme","id_iconography","integer","NO"
"r_iconography_theme","id_theme","integer","NO"
"r_iconography_theme","id_uuid","text","NO"
"r_institution","id","integer","NO"
"r_institution","id_cartography","integer","YES"
"r_institution","id_directory","integer","YES"
"r_institution","id_iconography","integer","YES"
"r_institution","id_institution","integer","NO"
"r_institution","id_uuid","text","NO"
"theme","category","text","NO"
"theme","category_slug","text","YES"
"theme","description","text","YES"
"theme","entry_name","text","NO"
"theme","id","integer","NO"
"theme","id_uuid","text","NO"
"title","entry_name","text","NO"
"title","id","integer","NO"
"title","id_iconography","integer","NO"
"title","id_uuid","text","NO"
"title","ismain","boolean","NO"
